words,links,capital_words,spam_word_count,is_spam
154,4,28,7,1
594,6,19,3,1
132,3,23,3,1
128,4,2,5,0
779,0,6,2,1
301,10,30,3,1
209,3,0,0,0
96,1,0,2,0
202,2,3,0,0
195,5,23,2,1
83,2,1,0,0
583,4,19,4,1
180,5,7,10,1
255,4,1,4,0
706,6,7,4,1
114,4,2,1,0
59,4,1,2,0
103,2,2,2,0
89,2,1,0,0
32,4,3,2,0
38,1,6,1,0
210,3,5,9,1
759,2,1,2,1
138,0,4,1,0
244,5,7,3,1
662,4,13,8,1
81,10,22,8,1
158,3,0,1,0
336,0,22,3,1
935,5,28,6,1
538,3,20,5,1
151,0,0,2,0
69,0,2,2,0
26,1,2,1,0
279,0,1,0,0
78,5,3,2,0
917,2,17,3,1
533,2,5,4,1
162,3,3,5,0
464,7,9,9,1
274,2,2,2,0
406,6,13,1,1
65,7,15,6,1
270,2,2,4,0
116,9,28,9,1
174,0,4,2,0
170,1,2,0,0
924,8,15,10,1
184,4,1,2,0
203,0,10,2,0
485,1,2,1,0
302,2,1,0,0
398,2,3,4,0
652,3,26,1,1
72,2,17,1,1
64,1,4,2,0
126,4,3,1,0
395,4,6,10,1
558,0,10,5,1
111,1,3,1,0
94,3,2,2,0
48,3,2,0,0
165,1,0,0,0
201,1,0,2,0
177,3,19,4,1
148,3,0,1,0
294,4,15,9,1
383,0,19,4,1
62,1,5,1,0
103,0,0,1,0
158,0,0,5,0
577,4,27,9,1
58,2,2,6,0
142,0,0,2,0
581,4,0,1,1
71,2,2,1,0
179,9,29,3,1
534,3,6,0,1
295,2,2,1,0
198,5,27,0,1
38,1,0,1,0
701,1,23,7,1
130,8,18,8,1
263,1,3,1,0
318,7,26,5,1
208,7,15,10,1
213,2,9,1,0
363,8,9,9,1
72,2,3,2,0
186,1,4,2,0
118,7,24,7,1
328,10,1,4,1
211,5,3,1,0
81,0,2,2,0
141,1,0,3,1
148,0,0,2,0
298,2,1,6,0
172,2,0,1,0
288,5,0,1,0
63,0,17,4,1
218,2,0,4,0
832,4,25,7,1
57,2,0,5,0
209,1,2,0,0
237,1,0,1,0
178,2,18,5,1
100,1,0,0,0
136,4,16,10,1
239,1,8,1,0
290,1,2,2,0
731,3,13,7,1
57,3,24,6,1
273,2,3,2,0
213,1,3,0,0
790,3,24,0,1
393,10,5,4,1
115,1,2,0,0
402,3,4,10,1
904,3,23,7,1
244,2,0,0,0
899,2,21,7,1
90,4,27,10,1
128,2,1,3,1
975,8,20,5,1
877,9,20,5,1
217,1,22,4,1
162,2,4,0,0
814,7,7,7,1
198,3,19,4,1
62,0,3,3,0
166,2,1,2,0
265,0,4,3,0
103,3,23,4,1
101,0,9,2,0
143,1,9,5,1
761,3,8,4,1
628,2,15,4,1
100,2,0,2,0
488,8,20,1,1
296,10,0,10,1
812,9,13,7,1
317,2,0,2,0
124,9,7,5,1
962,8,5,5,1
188,0,1,0,0
623,3,7,2,1
21,2,3,0,0
209,0,2,2,0
731,0,21,3,1
264,2,1,0,0
708,3,7,8,1
187,2,3,0,0
33,1,6,1,0
218,6,18,9,1
27,1,6,2,0
897,7,4,10,1
257,2,1,0,0
153,2,4,0,0
94,0,0,0,0
160,2,2,2,0
789,0,14,0,1
232,1,2,1,0
649,1,19,10,1
788,3,0,8,1
745,2,5,7,1
228,2,8,0,0
80,9,8,8,1
514,9,7,7,1
214,5,29,4,1
846,3,16,5,1
257,1,8,0,0
157,0,23,8,1
336,2,9,9,1
130,2,1,6,0
151,10,8,1,1
892,9,20,3,1
262,1,2,5,0
252,10,17,9,1
129,1,8,2,0
272,1,2,1,0
285,2,6,2,0
415,4,21,10,1
784,4,12,10,1
172,0,1,2,0
129,2,1,1,0
283,3,11,9,1
575,5,29,3,1
865,2,14,4,1
995,2,16,7,1
96,1,0,0,0
682,3,13,10,1
125,2,12,3,1
223,1,0,5,0
440,4,4,2,0
458,6,5,6,1
866,7,5,8,1
152,2,1,6,0
235,1,3,2,0
299,5,27,10,1
999,3,2,9,1
1000,3,23,3,1
211,1,2,0,0
277,1,10,0,0
92,0,3,1,0
76,1,15,4,1
415,3,19,9,1
120,3,20,4,1
84,4,2,2,0
688,8,6,1,1
474,4,13,3,1
849,2,8,1,1
429,2,1,2,0
359,9,7,8,1
237,3,1,0,0
446,0,2,0,0
268,2,2,1,0
816,0,20,7,1
242,0,3,0,0
276,4,3,1,0
520,9,8,10,1
979,5,1,7,1
114,7,11,3,1
493,3,1,4,0
37,2,2,2,0
56,9,11,8,1
405,0,5,2,1
249,9,4,6,1
369,2,4,6,0
245,4,8,1,0
364,10,24,8,1
42,2,1,0,0
150,0,10,0,0
958,8,11,2,1
91,3,0,5,0
449,5,26,4,1
888,8,5,6,1
388,7,24,2,1
147,5,0,2,0
283,2,0,3,0
768,5,18,3,1
174,1,2,3,0
460,3,15,4,1
127,1,1,1,0
147,4,6,3,1
475,7,15,10,1
816,9,12,5,1
213,0,1,5,1
114,0,0,3,0
155,1,1,6,0
260,1,0,2,0
241,2,5,4,1
868,9,14,5,1
27,0,2,0,0
58,1,0,1,0
151,2,1,0,0
71,0,0,2,0
81,10,0,8,1
297,2,0,1,0
782,1,14,5,1
458,2,2,2,0
197,2,10,4,1
224,2,3,2,0
176,3,12,3,1
56,0,0,5,0
88,2,2,0,0
99,2,3,3,0
448,2,11,0,1
549,3,22,5,1
784,2,5,10,1
457,6,26,10,1
161,3,26,8,1
196,1,1,2,0
967,9,19,9,1
84,2,0,3,1
295,1,2,5,0
762,2,25,2,1
267,1,4,1,0
138,7,30,3,1
890,10,28,8,1
565,6,7,7,1
83,0,3,2,0
435,0,1,2,0
132,1,2,1,0
115,6,4,3,1
173,1,2,1,0
291,1,1,2,0
739,6,30,6,1
523,10,19,10,1
452,4,20,5,1
185,0,0,0,0
214,2,3,0,0
640,5,4,5,1
37,1,2,2,0
181,0,4,1,0
728,6,5,9,1
241,2,2,2,0
200,1,18,6,1
36,3,0,2,0
714,3,28,6,1
92,5,27,10,1
652,2,9,6,1
82,1,3,2,0
23,3,0,1,0
434,4,8,7,1
834,0,9,6,1
161,2,1,1,0
813,9,11,0,1
220,1,3,0,0
214,2,21,10,1
206,1,1,0,0
916,6,22,7,1
429,7,26,10,1
694,7,25,10,1
139,1,0,3,0
100,2,10,2,1
38,1,3,2,0
750,10,9,3,1
110,0,3,1,0
67,7,22,9,1
387,1,3,0,0
339,2,1,2,0
602,6,12,10,1
208,0,0,1,0
491,3,3,1,0
623,9,5,3,1
188,2,1,2,0
972,8,1,8,1
187,4,10,3,0
258,5,9,2,0
113,2,9,2,0
338,6,25,4,1
471,6,5,5,1
228,1,0,0,0
239,2,7,2,0
720,7,8,10,1
236,1,19,3,1
340,1,3,6,0
862,3,5,5,1
84,3,7,2,0
31,1,2,1,0
394,9,5,5,1
693,9,26,2,1
23,4,2,6,0
237,1,1,1,0
119,0,3,1,0
191,0,3,2,0
179,5,9,9,1
402,2,3,2,0
195,2,0,0,0
879,5,7,8,1
905,4,11,8,1
860,6,26,8,1
284,1,3,0,0
156,3,3,0,0
222,3,26,9,1
290,0,3,6,0
200,0,0,2,0
233,0,3,2,0
202,1,5,3,0
475,2,1,1,0
148,2,3,2,0
173,0,9,0,0
192,2,30,7,1
809,3,5,10,1
536,0,13,6,1
163,2,3,0,0
174,1,28,6,1
612,6,9,0,1
205,1,0,5,0
505,5,7,10,1
177,2,2,1,0
959,3,13,10,1
220,9,24,2,1
186,6,12,4,1
98,2,0,2,0
97,8,9,4,1
230,0,1,0,0
192,10,23,6,1
265,2,6,6,0
293,2,6,0,0
163,6,23,3,1
882,9,23,2,1
158,2,2,1,0
295,0,3,1,0
947,8,23,4,1
930,0,5,7,1
993,5,18,5,1
87,1,3,1,0
529,3,0,8,1
475,5,8,3,1
51,2,4,2,0
283,3,3,0,0
176,1,8,1,0
827,0,26,2,1
162,4,2,5,0
178,1,2,2,0
52,10,2,2,1
259,1,7,2,0
385,4,2,6,1
36,2,1,3,0
126,3,21,9,1
126,0,1,2,0
163,1,0,1,0
289,2,3,0,0
415,5,3,1,0
656,9,13,3,1
238,1,0,0,0
98,0,8,1,0
961,9,30,6,1
288,1,2,5,0
